+25, -32, -36
-18, -32, -31
-14, -27, -2
-3, +37, -23
-10, +22, -14
+14, +26, -36
-10, -1, +19
+14, -33, -1
-14, -24, +26
-29, -15, -27
+20, +33, +21
-28, -25, -11
+6, +7, -13
-21, +26, +31
+14, +15, -7
-17, +4, +2
+20, +31, -36
+40, +24, +30
-29, +11, +4
-25, -17, -22
-20, +15, -39
+11, -34, +9
+36, -11, +5
-4, +10, -23
+12, +18, -37
-28, +32, -22
+26, -16, -19
+20, +3, +27
-30, -2, +33
-23, -31, -14
+37, +39, +34
+18, -9, +38
+34, +22, +16
-22, +19, -28
+33, +34, -8
-3, +8, +4
-7, +29, +28
+8, -40, +25
-26, +14, -36
-14, -30, -32
+26, +2, -34
+8, +6, -10
+38, -30, -9
-16, +23, -35
+1, +22, -15
+28, +15, +18
-2, -15, -27
+38, -13, +16
+12, -40, -13
+28, -12, -40
-13, -39, -21
+20, -25, +29
-15, +2, +4
-21, +29, -2
-2, +32, +13
-31, +32, +17
+17, -6, -40
+2, +10, -36
-13, +27, +30
+40, -32, -21
+29, -28, +17
+19, -29, +30
-34, -22, +38
+33, +4, -25
+39, -25, -15
-14, +16, -26
-6, +7, -22
-10, -25, +14
-2, -10, +26
-13, +33, +2
-32, -39, +13
-34, +31, +37
-19, +9, +38
+2, -4, -7
-4, -35, -39
-34, -21, -17
+16, -30, -35
-7, -19, +38
-8, +40, -36
-14, +19, -38
+28, -26, +31
+40, +39, +12
+10, +3, +6
-25, +30, -22
-38, +29, -19
+5, +14, +3
+19, +23, -5
+38, -21, +16
+10, +11, -27
+16, +35, +4
+28, -1, +39
-30, -10, -21
+19, -20, -28
-38, +16, +26
+38, -28, -35
-35, +36, -27
-21, -3, -11
-26, +25, -30
+17, +13, +32
-7, +15, -20
+8, +2, +38
+9, -32, -11
+23, -6, +30
-4, -1, -5
-33, -19, +32
+6, +15, -9
+8, +21, -9
-28, -6, +17
-2, +22, -39
+14, -28, -30
-7, +9, -1
+12, +34, +40
-37, +36, +33
-24, +30, +25
-27, -29, -18
-1, -6, -33
-27, -17, +7
+17, -7, -6
-37, -30, +9
+12, +6, -30
-23, +27, -17
-24, +26, -5
-10, +28, +25
-9, +25, +40
+22, -27, -3
+12, +31, -18
+40, -15, +22
-1, -11, -39
+34, +23, -30
-21, -36, -6
+19, -38, +26
+23, +20, -12
-16, +29, +3
+35, +18, -6
-10, +28, -35
-13, +19, +17
-39, +18, +22
+1, -22, +32
+28, +3, +9
+26, -32, -28
-1, +23, +3
+29, +13, -32
-30, +34, -5
-14, +27, -3
+17, +10, +4
-6, -40, -36
-35, +11, -25
-37, +25, +6
+29, +21, +23
-1, -35, -37
+24, +23, -27
+30, -5, -26
-19, +16, -39
+38, -5, -28
-9, -36, -31
-11, -10, +16
-17, -28, +24
-35, -19, -18
+32, -33, +37
+28, -23, +36
